"from","to","dataset","variable","filtername","min","max","flag","flagging_date","flagged_by"
"2015-07-14 10:00:00","2015-09-18 00:00:00","TVCSoil2016","Ts_2","minmaxmanual",-4.7952940164409,4.6504468809336,6,"2017-11-07 14:24:55","SL placeholder"
"2014-08-02 04:30:00","2014-08-02 10:30:00","KuQ12013","Q","minmaxmanual",24.644755427965,36.852220586117,6,"2019-03-21 15:24:37","AU"
"2014-08-06 20:30:00","2014-08-07 17:00:00","KuLucky22014","Tw_unknown","minmaxmanual",16.129353495806,25.546309229703,6,"2019-04-16 08:18:00","AU"
"2014-09-27 23:00:00","2014-10-06 16:00:00","KuQ12013","Q","minmaxmanual",-1.7325883705075,93.339994619393,6,"2019-04-26 10:43:24","AU"
"2014-10-01 13:30:00","2014-11-17 06:30:00","KuQ12013","Q","minmaxmanual",13.952207145631,225.49514364786,6,"2019-04-26 10:43:47","AU"
"2014-08-09 10:30:00","2014-08-14 19:30:00","KuLucky12013","Tw_2.5","minmaxmanual",8.3072575501738,42.765551778338,6,"2019-06-26 10:47:08","AU"
"2014-08-09 08:30:00","2014-08-13 16:00:00","KuLucky12013","Tw_2","minmaxmanual",8.5704574322941,25.740886823015,6,"2019-06-26 10:47:38","AU"
"2014-08-09 09:00:00","2014-08-13 21:30:00","KuLucky12013","Tw_unknown","minmaxmanual",7.3192107697396,30.275984999339,6,"2019-06-26 10:47:56","AU"
"2014-08-09 08:30:00","2014-08-20 04:30:00","KuLucky12013","Tw_1.5","minmaxmanual",6.6507263091496,35.087953518217,6,"2019-06-26 10:48:14","AU"
"2014-08-09 09:00:00","2014-08-15 20:30:00","KuLucky12013","Tw_1","minmaxmanual",8.270670873819,37.250900452593,6,"2019-06-26 10:48:28","AU"
"2014-08-09 08:00:00","2014-08-20 07:00:00","KuLucky12013","Tw_0.5","minmaxmanual",6.6709901382071,38.998002985493,6,"2019-06-26 10:48:42","AU"
"2014-08-09 06:30:00","2014-08-18 11:00:00","KuLucky12013","Tw_0","minmaxmanual",5.4526339438855,26.09620451465,6,"2019-06-26 10:48:53","AU"
"2014-11-13 06:30:00","2014-11-21 08:00:00","KuQ12013","WT","minmaxmanual",49.937005806989,79.272946183941,6,"2019-11-19 16:32:47","SL"
"2014-12-05 12:00:00","2014-12-08 09:00:00","KuQ12013","WT","minmaxmanual",51.36122083021,78.989841021245,6,"2019-11-19 16:33:17","SL"
"2014-11-14 13:00:00","2014-11-17 08:30:00","KuQ12013","WT","minmaxmanual",18.097161332783,40.941604867362,6,"2019-11-19 16:34:04","SL"
"2014-10-08 21:30:00","2015-01-02 03:30:00","KuQ12013","WT","minmaxmanual",57.139301911607,77.83086595078,6,"2019-11-19 16:35:37","SL"
"2014-11-29 18:30:00","2014-12-03 07:30:00","KuQ12013","WT","minmaxmanual",50.919872258213,58.335346075721,6,"2019-11-19 16:35:46","SL"
