1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
266,266,266,274,270,273,270,273,270,273,NA,270,270,270,273,270,270,270,270,270,270,270,270
269,269,269,275,282,279,282,279,282,279,NA,282,282,282,279,282,282,282,282,282,282,282,282
