"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_center_8",2005-10-01 15:00:00,6736,0.938774779658432,0.935277560478985
"E2_center_13",2005-10-02 06:00:00,6751,0.945507461577275,0.935223162822699
"E2_center_23",2005-10-12 19:00:00,7004,0.736929385219577,0.732902492778233
"E2_center_33",2005-09-29 17:00:00,6690,0.837558974834975,0.677237115167276
"E2_center_43",2005-09-13 11:00:00,6300,0.775107725395405,0.775107725395405
"E2_slope_5",2005-09-29 22:00:00,6695,0.255264527948468,0.24115064257558
"E2_slope_14",2005-09-28 22:00:00,6671,0.942742895020237,0.93440369197958
"E2_slope_23",2005-09-28 15:00:00,6664,0.676227687368325,0.678474261769663
"E2_slope_33",2005-09-13 11:00:00,6300,0.577681427793911,0.577681427793911
"E2_slope_43",2005-09-13 11:00:00,6300,0.77,0.77
"E2_rim_5",2005-10-02 01:00:00,6746,0.328396537583061,0.322946912255683
"E2_rim_12",2005-10-01 18:00:00,6739,0.538417583930522,0.490643656402194
"E2_rim_15",2005-10-02 00:00:00,6745,0.572408193010409,0.575070988271068
"E2_rim_22",2005-10-02 04:00:00,6749,0.560615760020995,0.592483102796414
"E2_rim_26",2005-10-01 23:00:00,6744,0.677550818124983,0.670902483906814
"E2_rim_34",2005-10-02 02:00:00,6747,0.52746804354771,0.522742338702873
"E2_rim_37",2005-10-01 21:00:00,6742,0.569326401657336,0.564551035299031
"E2_rim_50",2005-09-28 16:00:00,6665,0.523305611925571,0.280778727836002
"E2_rim_60",2005-09-15 11:00:00,6348,0.481993924966714,0.516897681963401
"E2_rim_70",2005-09-13 11:00:00,6300,0.77,0.77
