"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_center_8",2008-09-24 09:00:00,6586,0.934089772306874,0.938423781705047
"E2_center_13",2008-09-24 06:00:00,6583,0.940245052858764,0.942821743684319
"E2_center_23",2008-09-26 13:00:00,6638,0.762862681639958,0.731243774603815
"E2_center_33",2008-09-24 08:00:00,6585,0.819059758300224,0.785338551635686
"E2_center_43",2008-09-11 04:00:00,6269,0.808523952297913,0.802024814320935
"E2_slope_5",2008-09-26 22:00:00,6647,0.269484306155222,0.219095175458716
"E2_slope_14",2008-09-23 14:00:00,6567,0.50350653851642,0.483223777568419
"E2_slope_23",2008-09-12 05:00:00,6294,0.693473142386818,0.745347560533837
"E2_slope_33",2008-09-03 22:00:00,6095,0.409591483874566,0.665897921641518
"E2_slope_43",2008-09-12 11:00:00,6300,0.77,0.77
"E2_rim_5",2008-09-24 13:00:00,6590,0.365868277671287,0.352629557744466
"E2_rim_12",2008-09-24 20:00:00,6597,0.512034328399562,0.499102078820658
"E2_rim_15",2008-09-24 09:00:00,6586,0.572434079879657,0.574776207421579
"E2_rim_22",2008-09-24 14:00:00,6591,0.584919687519934,0.569961738082068
"E2_rim_26",2008-09-25 02:00:00,6603,0.685397345017384,0.684567449755752
"E2_rim_34",2008-09-25 00:00:00,6601,0.528232678223438,0.545309547415461
"E2_rim_37",2008-09-24 10:00:00,6587,0.560729440250362,0.543742526801613
"E2_rim_50",2008-09-13 06:00:00,6319,0.512841646620275,0.521641833412541
"E2_rim_60",2008-09-08 06:00:00,6199,0.475837563621872,0.475876118319589
"E2_rim_70",2008-09-04 05:00:00,6102,0.505626988235293,0.505581960015102
