"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_80_1",2004-10-12 22:00:00,7031,0.100003805366234,0.0801955262187335
"E2_90_16",2004-09-11 19:00:00,6284,0.369351025624639,0.372009133517301
"E2_90_32",2004-09-13 21:00:00,6334,0.337254922600165,0.33190347869623
"E2_85_39",2004-09-13 17:00:00,6330,0.334419982143314,0.331934315494914
"E2_90_66",2004-09-15 18:00:00,6379,0.381697654480275,0.38633851975202
"E2_90_90",2004-10-25 11:00:00,7332,0.266188447255262,0.25175307565634
"E2_95_99",2004-09-10 18:00:00,6259,0.209867918830262,0.255023575239809
"E2_95_113",2004-09-12 11:00:00,6300,0.18,0.18
"E2_95_120_v",2004-09-12 11:00:00,6300,0.21,0.21
"E2_114_6",2004-09-07 19:00:00,6188,0.309772684291276,0.0899464625263803
"E2_115_22",2004-09-12 04:00:00,6293,0.352591668350135,0.345216545189208
"E2_110_59",2004-09-14 10:00:00,6347,0.385642008521826,0.371690579053173
"E2_140_6",2004-09-07 08:00:00,6177,0.317849873949214,0.324812248347331
"E2_140_23",2004-11-15 10:00:00,7835,0.115792503678781,0.10867005552815
"E2_140_39",2004-09-13 04:00:00,6317,0.333189622669313,0.329941532464904
"E2_140_62",2004-09-14 19:00:00,6356,0.364569071248009,0.358732109424269
"E2_146_76",2004-09-21 08:00:00,6513,0.418445028511439,0.418482013212162
"E2_140_98",2004-09-12 21:00:00,6310,0.338215439678434,0.361328823594788
"E2_135_112",2004-11-19 23:00:00,7944,0.138134988919848,0.175784402708999
"E2_135_127_v",2004-09-11 06:00:00,6271,0.246904832723048,0.25
"E2_174_8",2004-09-11 11:00:00,6276,0.322549897649591,0.319165330378566
"E2_172_20",2004-12-13 18:00:00,8515,0.0848191081091104,0.0987847066663562
"E2_180_54",2004-11-15 06:00:00,7831,0.194631924829521,0.224202738269881
"E2_204_5",2004-09-12 10:00:00,6299,0.390936219966286,0.438665298779827
"E2_200_13",2004-09-12 11:00:00,6300,0.05,0.05
"E2_200_31",2004-12-01 19:00:00,8228,0.116580293481897,0.118882436537835
"E2_205_51",2004-09-18 15:00:00,6448,0.382006173975514,0.378672418279492
"E2_200_61",2004-09-15 01:00:00,6362,0.406011571769781,0.416283142475726
"E2_200_90",2004-10-29 17:00:00,7434,0.17897252585175,0.212943701872307
"E2_200_114",2004-09-12 11:00:00,6300,0.22,0.22
"E2_200_121_v",2005-01-07 23:00:00,9120,0.131293448125483,0.121605436204357
