"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_center_8",2010-09-26 22:00:00,6623,0.737712534437488,0.938095797853932
"E2_center_13",2010-09-25 01:00:00,6578,0.948502564036475,0.944384049736316
"E2_center_23",2010-09-26 02:00:00,6603,0.765582238024853,0.758190857213821
"E2_center_33",2010-09-22 02:00:00,6507,0.863397082180258,0.84628278371379
"E2_center_43",2010-09-16 19:00:00,6380,0.808447934618983,0.808523952297913
"E2_slope_5",2010-10-08 13:00:00,6902,0.227132140646765,0.0912013173221435
"E2_slope_14",2010-09-23 17:00:00,6546,0.353754271992152,0.587045871748811
"E2_slope_23",2010-09-22 00:00:00,6505,0.589838188333964,0.717913185825271
"E2_slope_33",2010-09-22 04:00:00,6509,0.666879264077883,0.409591483874566
"E2_slope_43",2010-09-16 06:00:00,6367,0.646760124695732,0.77
"E2_rim_5",2010-09-28 05:00:00,6654,0.338013749160854,0.352905511881721
"E2_rim_12",2010-09-26 03:00:00,6604,0.447089269678551,0.461464886116772
"E2_rim_15",2010-09-27 13:00:00,6638,0.57705484390441,0.580457331838142
"E2_rim_22",2010-09-26 11:00:00,6612,0.592138873651473,0.594422649261771
"E2_rim_26",2010-09-26 12:00:00,6613,0.684935726195866,0.690689923306154
"E2_rim_34",2010-09-26 06:00:00,6607,0.512025512203316,0.530566933698542
"E2_rim_37",2010-09-24 15:00:00,6568,0.545482562542385,0.580360975974929
"E2_rim_50",2010-09-27 14:00:00,6639,0.531698332626779,0.512841646620275
"E2_rim_60",2010-09-19 09:00:00,6442,0.465580463111025,0.475837563621872
"E2_rim_70",2010-09-25 11:00:00,6588,0.491749252337105,0.505626988235293
