"position","date_freez","row_nr_freez","theta_tot","theta_tot_prior"
"E2_80_1",2001-09-23 10:00:00,6539,0.306306354799659,0.331429535496967
"E2_90_16",2001-09-22 19:00:00,6524,0.37052024651428,0.368806132855146
"E2_90_32",2001-09-24 07:00:00,6560,0.329000090697299,0.339895379331996
"E2_85_39",2001-09-25 11:00:00,6588,0.33207417327191,0.34199778216297
"E2_90_66",2001-09-26 23:00:00,6624,0.376628156202009,0.330077242293701
"E2_90_90",2001-11-16 10:00:00,7835,0.230482720743508,0.16143115579299
"E2_95_99",2001-09-13 11:00:00,6300,0.255023575239809,0.255023575239809
"E2_95_113",2001-09-13 11:00:00,6300,0.18,0.18
"E2_95_120_v",2001-09-13 11:00:00,6300,0.21,0.21
"E2_114_6",2001-10-21 06:00:00,7207,0.093281948612851,0.343679954133269
"E2_115_22",2001-09-22 17:00:00,6522,0.349370334058293,0.340938853871908
"E2_110_59",2001-09-25 20:00:00,6597,0.361485590215677,0.370880676986513
"E2_140_6",2001-09-19 21:00:00,6454,0.32023732746396,0.341598677789129
"E2_140_23",2001-11-03 23:00:00,7536,0.166723152071027,0.180896519282646
"E2_140_39",2001-09-25 07:00:00,6584,0.323157319024012,0.25731470421985
"E2_140_62",2001-09-25 21:00:00,6598,0.349597003793609,0.351831535433032
"E2_146_76",2001-09-30 13:00:00,6710,0.401212184355797,0.41459843731166
"E2_140_98",2001-09-22 23:00:00,6528,0.382607120489947,0.406131960996603
"E2_135_112",2001-09-13 11:00:00,6300,0.17,0.17
"E2_135_127_v",2001-09-13 11:00:00,6300,0.25,0.25
"E2_174_8",2001-09-22 09:00:00,6514,0.330174860751574,0.346668126333254
"E2_172_20",2001-11-04 13:00:00,7550,0.25453099534344,0.154989712388674
"E2_180_54",2001-11-04 19:00:00,7556,0.334024317471737,0.362348130636159
"E2_204_5",2001-09-23 05:00:00,6534,0.430636269788563,0.424363774339906
"E2_200_13",2001-09-13 11:00:00,6300,0.05,0.05
"E2_200_31",2001-11-03 09:00:00,7522,0.270010765355636,0.249088633702626
"E2_205_51",2001-11-14 20:00:00,7797,0.319259585940334,0.307175949294034
"E2_200_61",2001-09-26 20:00:00,6621,0.397148476671297,0.409242186655222
"E2_200_90",2001-09-24 18:00:00,6571,0.323128566825108,0.241726382854872
"E2_200_114",2001-09-13 11:00:00,6300,0.22,0.22
"E2_200_121_v",2001-09-13 11:00:00,6300,0.2,0.2
