variable,category,columnname,unit,dataset,station,min,max,comments
Temperature Soil,Ts,Ts,Degree C,all,TVC,-50,30,
Temperature ground surface,Tgs,Tgs,Degree C,all,TVC,-65,40,
Volumetric water content,vwc,vwc,%,all,TVC,0,1,
Electric conductivity,cond,cond,S/m,all,TVC,-0.001,0.1,
Dielectricity,E2,E2,,all,TVC,1.75,90, 1: minimum=vakuum~air; 2-4 ~ ice; 80 ~ water
Dielectricity snow,E2sn,E2sn,,all,TVC,0.5,90, 
