"station","dataset","variable","begin","end","check3","controller3"
"Bayelva","BaSoil1998","Ts_124_8","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_124_25","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_115_60","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_145_6","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_145_24","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_145_40","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_145_62","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_151_76","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_145_99","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_135_112","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_135_125_v","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_169_9","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_177_19","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_185_52","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_204_5","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_205_13","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_205_31","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_210_50","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_205_61","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_205_90","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_200_114","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","Ts_200_118_v","1998","2009","2021-02-18 11:53:50","SL"
"Bayelva","BaSoil1998","vwc_80_1","1998","2009","2021-02-18 11:53:50","SL"
