"station","dataset","variable","check1","controller1","check2","controller2"
"Bayelva","BaSoil2009","vwc_h_89","2021-04-16 15:28:24","NB","2021-04-21 14:30:47","BC"
"Bayelva","BaSoil2017","G_1",NA,NA,NA,NA
"Bayelva","BaSoil2017","G_2",NA,NA,NA,NA
"Bayelva","BaHole2009","Tair_50","2021-04-20 10:28:15","BC","2021-04-21 09:24:05","SL"
"Bayelva","BaHole2009","Ts_0","2021-04-20 10:28:45","BC","2021-04-21 09:24:46","SL"
"Bayelva","BaHole2009","Ts_50","2021-04-20 10:29:07","BC","2021-04-21 09:25:25","SL"
"Bayelva","BaHole2009","Ts_100","2021-04-20 10:29:24","BC","2021-04-21 09:25:38","SL"
"Bayelva","BaHole2009","Ts_150","2021-04-20 10:29:43","BC","2021-04-21 09:26:04","SL"
"Bayelva","BaHole2009","Ts_250","2021-04-20 10:29:50","BC","2021-04-21 09:26:38","SL"
"Bayelva","BaHole2009","Ts_350","2021-04-20 10:29:56","BC","2021-04-21 09:26:44","SL"
"Bayelva","BaHole2009","Ts_550","2021-04-20 10:30:02","BC","2021-04-21 09:26:51","SL"
"Bayelva","BaHole2009","Ts_750","2021-04-20 10:30:07","BC","2021-04-21 09:27:15","SL"
"Bayelva","BaHole2009","Ts_900","2021-04-20 10:30:11","BC","2021-04-21 09:27:22","SL"
"Bayelva","BaHole2015","Ts_0",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_50",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_100",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_150",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_200",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_250",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_350",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_550",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_750",NA,NA,NA,NA
"Bayelva","BaHole2015","Ts_900",NA,NA,NA,NA
"Bayelva","BaSnow2013","Dsn","2021-04-16 11:09:46","SL","2021-04-21 10:28:33","NB"
"Bayelva","BaSnow2019sr","Tair_200","2021-04-21 10:35:30","NB","2021-04-22 10:15:24","BC"
"Bayelva","BaSnow2019sr","Dsn","2021-04-21 10:35:56","NB","2021-04-22 10:16:15","BC"
"Bayelva","BaSnow2019cs","CountsK","2021-04-21 10:36:20","NB","2021-04-22 10:16:35","BC"
"Bayelva","BaSnow2019cs","CountsTl","2021-04-21 10:36:14","NB","2021-04-22 10:16:47","BC"
"Bayelva","BaSnow2019cs","SWE_K","2021-04-21 10:36:58","NB","2021-04-22 10:17:19","BC"
"Bayelva","BaSnow2019cs","KTl_Ratio","2021-04-21 10:37:06","NB","2021-04-22 10:17:49","BC"
"Bayelva","BaSnow2019cs","SWE_Tl","2021-04-22 10:18:11","BC",NA,NA
"Bayelva","BaSnow2019cs","Tcryst_min","2021-04-22 10:18:22","BC",NA,NA
"Bayelva","BaSnow2019cs","Tcryst_max","2021-04-22 10:18:31","BC",NA,NA
"Bayelva","BaSnow2019cs","Dsn","2021-04-22 10:18:45","BC",NA,NA
"Bayelva","BaSnow2019cs","rho_K",NA,NA,NA,NA
