"station","dataset","variable","check1","controller1","check2","controller2"
"Sardakh","SdHole2009","Ts_0",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_40",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_80",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_120",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_160",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_200",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_250",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_300",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_400",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_500",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_700",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_900",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_1100",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_1300",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_1500",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_2000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_3000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_4000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_5000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_6000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_7000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_8000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_9000",NA,NA,NA,NA
"Sardakh","SdHole2009","Ts_10000",NA,NA,NA,NA
