"station","dataset","variable","check1","controller1","check2","controller2"
"Samoylov","SaSoil2002","G_center","2021-05-21 09:05:39","BC","2021-07-27 13:44:00","NB"
"Samoylov","SaSoil2002","G_rim","2021-05-21 09:05:46","BC","2021-07-27 13:44:28","NB"
"Samoylov","SaSoil2002","Ts_center_1","2021-05-21 09:08:21","BC","2021-07-27 13:44:50","NB"
"Samoylov","SaSoil2002","Ts_center_5","2021-05-21 09:08:30","BC","2021-07-27 13:47:31","NB"
"Samoylov","SaSoil2002","Ts_center_10","2021-05-21 09:08:38","BC","2021-07-27 13:50:03","NB"
"Samoylov","SaSoil2002","Ts_center_20","2021-05-21 09:08:48","BC","2021-07-27 13:54:19","NB"
"Samoylov","SaSoil2002","Ts_center_30","2021-05-21 09:08:55","BC","2021-07-27 13:55:47","NB"
"Samoylov","SaSoil2002","Ts_center_40","2021-05-21 09:09:03","BC","2021-07-27 14:00:20","NB"
"Samoylov","SaSoil2002","Ts_slope_3","2021-05-21 09:29:53","BC","2021-07-27 14:01:47","NB"
"Samoylov","SaSoil2002","Ts_slope_7","2021-05-21 09:30:00","BC","2021-07-27 14:09:42","NB"
"Samoylov","SaSoil2002","Ts_slope_16","2021-05-21 09:30:11","BC","2021-07-27 14:13:07","NB"
"Samoylov","SaSoil2002","Ts_slope_22","2021-05-21 09:30:21","BC","2021-07-27 14:15:15","NB"
"Samoylov","SaSoil2002","Ts_slope_32","2021-05-21 09:30:29","BC","2021-07-27 14:16:39","NB"
"Samoylov","SaSoil2002","Ts_slope_42","2021-05-21 09:30:36","BC","2021-07-27 14:20:04","NB"
"Samoylov","SaSoil2002","Ts_rim_2","2021-05-21 09:37:32","BC","2021-07-27 14:24:12","NB"
"Samoylov","SaSoil2002","Ts_rim_6","2021-05-21 09:37:39","BC","2021-07-27 14:26:29","NB"
"Samoylov","SaSoil2002","Ts_rim_11","2021-05-21 09:37:47","BC","2021-07-27 14:26:54","NB"
"Samoylov","SaSoil2002","Ts_rim_16","2021-05-21 09:37:54","BC","2021-07-27 14:35:52","NB"
"Samoylov","SaSoil2002","Ts_rim_21","2021-05-21 09:38:00","BC","2021-07-27 14:42:45","NB"
"Samoylov","SaSoil2002","Ts_rim_27","2021-05-21 09:38:09","BC","2021-07-27 14:44:37","NB"
"Samoylov","SaSoil2002","Ts_rim_33","2021-05-21 09:42:42","BC","2021-07-27 14:45:56","NB"
"Samoylov","SaSoil2002","Ts_rim_38","2021-05-21 09:42:50","BC","2021-07-27 14:46:32","NB"
"Samoylov","SaSoil2002","Ts_rim_51","2021-05-21 09:42:57","BC","2021-07-27 14:47:36","NB"
"Samoylov","SaSoil2002","Ts_rim_61","2021-05-21 09:43:03","BC","2021-07-27 14:48:59","NB"
"Samoylov","SaSoil2002","Ts_rim_71","2021-05-21 09:43:11","BC","2021-07-27 14:49:38","NB"
"Samoylov","SaSoil2002","Ts_icew_41","2021-05-21 09:46:24","BC","2021-07-27 14:51:06","NB"
"Samoylov","SaSoil2002","Ts_icew_61","2021-05-21 09:46:31","BC","2021-07-27 14:51:51","NB"
"Samoylov","SaSoil2002","Ts_icew_91","2021-05-21 09:46:37","BC","2021-07-27 14:52:46","NB"
"Samoylov","SaSoil2002","Ts_icew_121","2021-05-21 09:46:42","BC","2021-07-27 14:54:24","NB"
"Samoylov","SaSoil2002","Ts_icew_151","2021-05-21 09:46:48","BC","2021-07-27 14:55:17","NB"
"Samoylov","SaSoil2002","Ts_icew_181","2021-05-21 09:48:12","BC","2021-07-27 14:56:13","NB"
"Samoylov","SaSoil2002","Ts_icew_211","2021-05-21 09:48:40","BC","2021-07-29 09:49:55","NB"
"Samoylov","SaSoil2002","Ts_icew_241","2021-05-21 09:48:44","BC","2021-07-27 14:56:33","NB"
"Samoylov","SaSoil2002","Ts_icew_271","2021-05-21 09:48:50","BC","2021-07-27 14:57:38","NB"
"Samoylov","SaSoil2002","Tgs","2021-05-21 09:51:19","BC","2021-07-27 14:58:08","NB"
"Samoylov","SaSoil2002","Dsn","2021-05-21 11:23:37","BC",NA,NA
"Samoylov","SaSoil2002","E2_center_8","2021-05-21 11:30:30","BC","2021-07-27 15:45:31","NB"
"Samoylov","SaSoil2002","E2_center_13","2021-05-21 11:31:39","BC","2021-07-27 15:47:11","NB"
"Samoylov","SaSoil2002","E2_center_23","2021-05-21 11:31:43","BC","2021-07-27 15:49:21","NB"
"Samoylov","SaSoil2002","E2_center_33","2021-05-21 11:31:48","BC","2021-07-27 15:56:34","NB"
"Samoylov","SaSoil2002","E2_center_43","2021-05-21 11:31:53","BC","2021-07-27 15:57:56","NB"
"Samoylov","SaSoil2002","E2_slope_5","2021-05-21 11:34:49","BC","2021-07-27 15:58:53","NB"
"Samoylov","SaSoil2002","E2_slope_14","2021-05-21 11:34:57","BC","2021-07-27 15:59:40","NB"
"Samoylov","SaSoil2002","E2_slope_23","2021-05-21 11:35:04","BC","2021-07-27 16:00:02","NB"
"Samoylov","SaSoil2002","E2_slope_33","2021-05-21 11:35:10","BC","2021-07-27 16:00:57","NB"
"Samoylov","SaSoil2002","E2_slope_43","2021-05-21 11:35:15","BC","2021-07-27 16:02:32","NB"
"Samoylov","SaSoil2002","E2_rim_5","2021-05-21 11:37:11","BC","2021-07-27 16:05:46","NB"
"Samoylov","SaSoil2002","E2_rim_12","2021-05-21 11:37:15","BC","2021-07-28 09:51:11","NB"
"Samoylov","SaSoil2002","E2_rim_15","2021-05-21 11:37:22","BC","2021-07-28 09:51:28","NB"
"Samoylov","SaSoil2002","E2_rim_22","2021-05-21 11:37:28","BC","2021-07-28 10:32:50","NB"
