Raw;Lv0;O2A
Soil_Temp_Avg(2);Ts_05;SaSnow2012:T107_2:Ts_05
Soil_Temp_Avg(3);Ts_10;SaSnow2012:T107_2:Ts_10
Soil_Temp_Avg(4);Ts_20;SaSnow2012:T107_2:Ts_20
Soil_Temp_Avg(5);Ts_40;SaSnow2012:T107_2:Ts_40
Soil_Temp_Avg(6);Ts_60;SaSnow2012:T107_2:Ts_60
Soil_Temp_Avg(7);Ts_80;SaSnow2012:T107_2:Ts_80
Soil_Temp_Avg(8);Ts_100;SaSnow2012:T107_2:Ts_100
;Dsn_0;SaSnow2012:SR50A_0:Dsn
;Dsn_1;SaSnow2012:SR50A_1:Dsn
;Dsn_2;SaSnow2012:SR50A_2:Dsn
;Dsn_3;SaSnow2012:SR50A_3:Dsn
;Dsn_4;SaSnow2012:SR50A_4:Dsn
;Dsn_5;SaSnow2012:SR50A_5:Dsn
;Dsn_6;SaSnow2012:SR50A_6:Dsn
;Dsn_7;SaSnow2012:SR50A_7:Dsn
;Dsn_8;SaSnow2012:SR50A_8:Dsn
;Dsn_9;SaSnow2012:SR50A_9:Dsn
;Dist_Centre;SaSnow2012:SR50A_centre:dist
;Dist_Crack;SaSnow2012:SR50A_crack:dist
