Raw;Lv0;O2A
VWC(4);vwc_cen_14;SaSoil2012:TDR100:cen_14:vwc
VWC(3);vwc_cen_44;SaSoil2012:TDR100:cen_44:vwc
VWC(2);vwc_cen_72;SaSoil2012:TDR100:cen_72:vwc
VWC(1);vwc_cen_95;SaSoil2012:TDR100:cen_95:vwc
VWC(9);vwc_rim_v_22;SaSoil2012:TDR100:rim_v_22:vwc
VWC(5);vwc_rim_9;SaSoil2012:TDR100:rim_9:vwc
VWC(10);vwc_rim_24;SaSoil2012:TDR100:rim_24:vwc
VWC(11);vwc_rim_38;SaSoil2012:TDR100:rim_38:vwc
VWC(12);vwc_rim_52;SaSoil2012:TDR100:rim_52:vwc
VWC(13);vwc_rim_100;SaSoil2012:TDR100:rim_100:vwc
U_sen(2);Usen_w_cen_45;SaSoil2012:TP01_cen_45:Usen_w
U_sen(1);Usen_w_cen_95;SaSoil2012:TP01_cen_95:Usen_w
U_sen(4);Usen_w_rim_16;SaSoil2012:TP01_rim_16:Usen_w
U_sen(3);Usen_w_rim_99;SaSoil2012:TP01_rim_99:Usen_w
U_heat(2);Usen_h_cen_45;SaSoil2012:TP01_cen_45:Usen_h
U_heat(1);Usen_h_cen_95;SaSoil2012:TP01_cen_95:Usen_h
U_heat(4);Usen_h_rim_16;SaSoil2012:TP01_rim_16:Usen_h
U_heat(3);Usen_h_rim_99;SaSoil2012:TP01_rim_99:Usen_h
U_sen0(2);Usen_c_cen_45;SaSoil2012:TP01_cen_45:Usen_c
U_sen0(1);Usen_c_cen_95;SaSoil2012:TP01_cen_95:Usen_c
U_sen0(4);Usen_c_rim_16;SaSoil2012:TP01_rim_16:Usen_c
U_sen0(3);Usen_c_rim_99;SaSoil2012:TP01_rim_99:Usen_c
U_senamp(2);Usen_amp_cen_45;SaSoil2012:TP01_cen_45:Usen_amp
U_senamp(1);Usen_amp_cen_95;SaSoil2012:TP01_cen_95:Usen_amp
U_senamp(4);Usen_amp_rim_16;SaSoil2012:TP01_rim_16:Usen_amp
U_senamp(3);Usen_amp_rim_99;SaSoil2012:TP01_rim_99:Usen_amp
lambda(2);tcond_cen_45;SaSoil2012:TP01_cen_45:tcond
lambda(1);tcond_cen_95;SaSoil2012:TP01_cen_95:tcond
lambda(4);tcond_rim_16;SaSoil2012:TP01_rim_16:tcond
lambda(3);tcond_rim_99;SaSoil2012:TP01_rim_99:tcond
td(2);td_cen_45;SaSoil2012:TP01_cen_45:td
td(1);td_cen_95;SaSoil2012:TP01_cen_95:td
td(4);td_rim_16;SaSoil2012:TP01_rim_16:td
td(3);td_rim_99;SaSoil2012:TP01_rim_99:td
rocp(2);Cv_cen_45;SaSoil2012:TP01_cen_45:Cv
rocp(1);Cv_cen_95;SaSoil2012:TP01_cen_95:Cv
rocp(4);Cv_rim_16;SaSoil2012:TP01_rim_16:Cv
rocp(3);Cv_rim_99;SaSoil2012:TP01_rim_99:Cv
