Raw;Lv0;O2A
TIMESTAMP;UTC;time
batt_volt_Avg;Ubat;SaSoil2002:Vbat
Panel_temp_Avg;Tpan;SaSoil2002:Tpan
heatflux_center_Avg;G_center;SaSoil2002:hfp01_2:G_center
heatflux_wall_Avg;G_rim;SaSoil2002:hfp01_1:G_rim
t107_temp_Avg(6);Ts_center_1;SaSoil2002:t107_c:Ts_center_1
t107_temp_Avg(5);Ts_center_5;SaSoil2002:t107_c:Ts_center_5
t107_temp_Avg(4);Ts_center_10;SaSoil2002:t107_c:Ts_center_10
t107_temp_Avg(3);Ts_center_20;SaSoil2002:t107_c:Ts_center_20
t107_temp_Avg(2);Ts_center_30;SaSoil2002:t107_c:Ts_center_30
t107_temp_Avg(1);Ts_center_40;SaSoil2002:t107_c:Ts_center_40
t107_temp_Avg(12);Ts_slope_3;SaSoil2002:t107_s:Ts_slope_3
t107_temp_Avg(11);Ts_slope_7;SaSoil2002:t107_s:Ts_slope_7
t107_temp_Avg(10);Ts_slope_16;SaSoil2002:t107_s:Ts_slope_16
t107_temp_Avg(9);Ts_slope_22;SaSoil2002:t107_s:Ts_slope_22
t107_temp_Avg(8);Ts_slope_32;SaSoil2002:t107_s:Ts_slope_32
t107_temp_Avg(7);Ts_slope_42;SaSoil2002:t107_s:Ts_slope_42
t107_temp_Avg(23);Ts_rim_2;SaSoil2002:t107_r:Ts_rim_2
t107_temp_Avg(22);Ts_rim_6;SaSoil2002:t107_r:Ts_rim_6
t107_temp_Avg(21);Ts_rim_11;SaSoil2002:t107_r:Ts_rim_11
t107_temp_Avg(20);Ts_rim_16;SaSoil2002:t107_r:Ts_rim_16
t107_temp_Avg(19);Ts_rim_21;SaSoil2002:t107_r:Ts_rim_21
t107_temp_Avg(18);Ts_rim_27;SaSoil2002:t107_r:Ts_rim_27
t107_temp_Avg(17);Ts_rim_33;SaSoil2002:t107_r:Ts_rim_33
t107_temp_Avg(16);Ts_rim_38;SaSoil2002:t107_r:Ts_rim_38
t107_temp_Avg(15);Ts_rim_51;SaSoil2002:t107_r:Ts_rim_51
t107_temp_Avg(14);Ts_rim_61;SaSoil2002:t107_r:Ts_rim_61
