1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
257,270,287,271,277,277,263,276,281,273,279,267,266,300,281,275,271,284,313,295,295,295,271,271
266,280,305,293,287,291,279,283,294,288,293,275,277,303,291,287,289,300,317,305,305,305,282,282
